clean_text,sentiment
crypto news   man loses  in  after falling prey to,negative
this tsla tslaq narrative is such a tired take we get it its way overpriced and they have a lot of debt jerking off over every elon tweet neither improves your short thesis or your ability to remain objective with your position,negative
"stop saving cash amp start saving in  

these terrible monetary policies will have you eating bugs and be happy because you have to

 buys you steak",negative
cryptocurrency predictions  where the price will go,neutral
"current  price alert 

  usd
 e btc
  eth

follow for recent cardano price updates",positive
"year to date

  

  

  

 nano",neutral
"transferred from unknown wallet to unknown wallet  

 tx",positive
"yesterday we longed api 

entry attached

 nailed the scalp idea 

sign ups open tomorrow
 thursday  
  am est

limited spots 

  to sign up",negative
finally  offers crypto enthusiasts the best of both worlds  instant access to cash while retaining ownership of their crypto im using nexo to earn interest on my assets borrow cash     via,positive
"if  break 
next target  is 

lets see",neutral
mastercard inc ma to post q  earnings of  per share jefferies financial group forecasts,positive
would this cause supplier prices to rise for tsla if tsla is not honoring contracts suppliers should become more reluctant to do business with them and if the risk is not easily hedged i would think prices need to go up to compensate,negative
this is the first of its kind were power are fully bestowed to the holders its gives holders the unique abilities to excel more in the community from all the revenue fee generated from the market,positive
"that is pure arrogance in that statement and someone who is so vocal about united people around  should know better 

to answer your questions culture languages history financial centers food people history and much more",positive
btc going to go to  just start   say something different,neutral
fixes this,neutral
if you believe  is top selling watch in the world i have a chinese made phone to sell you for   aapl,positive
"use my discount link to buy 


 arena amp wizards nft cheaper 

link 
code hquux",neutral
"hidollar is taking off to the  you can join hidollar and get hi for free with this link
click on web app to register use teo for hi
 up from yd",positive
is seeing a return to restaurants as restrictions ease  still under lockdown continues to flatline,positive
link    yesterday  chainlink holders   today  chainlink holders,neutral
"long alert 

exchange      binance
market          bnb  usdt
volume         
price             

btc  eth 

for live whale trade flow check",positive
btcusdt shorted  on   utc,neutral
is complex but we cant afford to ignore it via  bsgm jpm abt phg amzn,positive
"master yoda may the force be with you
        

check out my nft listing on opensea  via",neutral
is game theory,neutral
our target is  billion market value by the end of the year  safe community token  burn listed exchanges  bitrue bitget hotbit mexc latoken cointiger zt indoex swap  pitswap pancakeswap nchnetworkswap k holders  pit,positive
aapl algn isrg  atm calls close signal trigger at      eod or     tomorrows hi or     todays hi   generally they gap up next day,neutral
last  months for aapl   million iphones ipads and macs  b sales  b net incomewatchcome  new b data centers ireden,neutral
ftx us ceo brett harrison  talked about cryptocurrency projects harrison said that currently existing crypto projects are unlikely to survive,neutral
how simple was amzn i gave you that  level if it holds it can run  more today just touched  baba still holding strong if it gets thru  it can get  morecmg still holding well lets get thru,positive
"is at a makeor break level it can make a double top and we can see an aggressive drop howeverif we break the k rangewe will likely test the k zone
yall follow  shes a super underrated bitcoiner who have been following her tweets and tip",positive
check my twits about amzn during the last couple of months  i maintain the  target,neutral
android app version with voice calls to  countries is now getting live on google in different countries check out the update and start calling link,neutral
"ltsg is waiting for the   listing  

ticket number",positive
just gonna sit back and enjoy the ride googl amzn wynn nflx,positive
when do we all get bitcoin,neutral
"update trade didnt set up it broke prematurely due to launch of the etf 

but look how predictably price can behave premature breaks  price getting slapped

a second attempt in short succession  usually successful in producing a push",positive
joe rogan defending  to peter schiff in,neutral
the cope by you  maxis is real you guys can never accept the term bear market its a real thing maxis,negative
bitcoin company  has been silently scaling over  mw of mining facilities in a bid to rebalance the distribution of global hashpower back in the hands of smaller players,neutral
soon list,neutral
"that is so horrible

when i hear him talking about this awful future it shakes me to the bone

there was no time before where we needed  more",negative
btc looking to print a swing low pending close bouncing of the dma and reclaiming the  retrace was going to be a defining moment for pa imo while the run does seem overheated if rsi can bounce bw its dma and upper bband then price could continue the trend up,negative
gabes a coauthor of thank god for bitcoin and broke the story below hes extremely underfollowed if youre not following  give him a follow,positive
mbly cutting ties w tsla for pushing the safety envelope,positive
"nvda touched  and closed at  this needs to hold above  for continuation higher

spy qqq iwm ccl intc amd",neutral
"anything can happen to you except death never
we love you guys",negative
"crypto prices usd

bitcoin  
axieinfinity  
vechain  
ethereumclassic  
internetcomputer  
eos",neutral
for newcomers halving is technically a good thing   and no it does not mean your ltc is cut in half,negative
hope we will go through this again so you learn humility instead of the moon talks get rekt,positive
shirts are scams created by fiat excess did cavemen wear shirts itâs unnatural go shirtless so that you can buy more,negative
"have       in phase    
 
  have token  soon",neutral
"live   change   

  live   change   

bonus as much as your investment coinbase  
    
 

    
id aab",positive
ufo gaming r u dead all gamefi are pumping whats going on,negative
"why do people choose the dark side when all knowledge lies with the light side

 is a jedi



plsd",negative
trading zone,neutral
tsla elon almost got taken out by his own car,neutral
"we need to protect other crypto coins that are sustainable dont see need to protect the bitcoin community  eu

we dont need your protection the   community can and will fend for itself

get onboard or out of the way",positive
is the bottom passed or its just a little pause,neutral
k tsla model x has lbs towing capacity  range of only  miles when towing a k f f tows  lbs tsla pickup  joke,positive
started the twitter account in a fit of rage knowing that elon himself does monitor tsla  tslaq postings,negative
"whoo this is lit 

 
 


xabfbecadeacaebaaadc",neutral
btcusdt shorted  on   utc,neutral
we may never get a season  of  sigh  but fans of phoebe wallerbridge can expect more content from the comedic genius on amazon prime video yay  has the story amzn,positive
"work hard in silence let your success be the noise




address
xfffebeecfabfefda",positive
that deposit line of almost  billion is substantial seeing that it makes sense for tsla to get every m configured not sure though whether config payments go into customer deposit line but again free financing,positive
usd transferred from  to,neutral
what if china bans,neutral
"bear alert

x volume
price      
min  
volume  
 
     stmx",positive
a company that mines  in a more efficient way is a  i would invest in,positive
new month highs top  mgnx  xrf  mark  izea  cars  gnus  lpsn  vapo  auto  inuv,positive
astro casino signs arrived,neutral
inside day like today i went with all  all  really missed some long movers like xlnx and ehth but stuck with where i felt comfortable fb aal mkc fcx aapl biggest winner mkc aal was only red name poor am entry prob got lucky in fb,positive
there is only one cryptocurrency that you should not buy at its usd ath and thatâs bitcoin,neutral
poloniex announces upgrade of xrp wallets to enhance user experience  they are speeding up their transactions and are doing away with min xrp to open accounts,neutral
"stop talking down the price of bitcoin btc

 

 

 dan saada   amp follow our ceo",negative
apple ceo writes to employees about george floyd death urges for better more just world for ever aapl tgt wmt amzn,negative
my friend and i are doing a  to  eth trading competition first to  eth wins admiration and respect updates daily lets do it,positive
bears  now in  im sorry we going back to        tic toc to accumulate and dont lose this cheap prices,positive
"price update 

  usd
  

follow for recent eth price updates",neutral
stocks making the biggest moves pm pg ibm lmt aapl sne apha amzn wmt save cmcsa dvmt pm wing  more,positive
i bet it wud get tiring to wait at least  min for a supercharger but maybe thats just me lol tsla,positive
"haha this is an exciting time we finally waited until his appearance of course i hope he can
  
xcdfeeefec",positive
we love you  from  common folks,positive
bitcoin turns electricity into money how about a cryptocurrency that turns recovered ocean plastic into money or sequestered carbon anything with actual value,positive
amazon scopes out another sector  movies   amzn,positive
amp  got one more big move down then the party resumes,positive
ive done mine you guys seriously need to check out  this is the stunning set of  s from  nft holders earn tokens just for holding physical soft drink on  soon also what a project,positive
its also extremely unuseful to be unable to select the proper location for typing select text etc aapl           zn_f   lmt  ba,neutral
weekly rsi reaching bear market low territory was a strong signal,positive
the next generation of lending is peertopeer the next generation of lending is  come learn more about the first  secured community lending platform,positive
"winner  

congrats who wants another",positive
we  intend to expand upon this initial integration of price feeds by also using  oracles to disclose more detailed transactionrelated data about sandbank onchain for even greater transparency  cefi gt   link,positive
icahn wouldnt have sold his shares if i hadnt closed my aapl puts yesterday,positive
people who dont gift bitcoin to their ma on mothers day literally make me cringe disgusting people ma doesnt want dead flowers or a box of diabetes instead show her your immutable love with a utxo,positive
new nft collection,neutral
aapl  after earning print it or else will quit stocktwit,neutral
"last price   
weekly indicators
pivot fibonacci
 support  
 s 
 s 
 middle 
 resistance  

 last price  
pivot
 s 
 s 
 m 
 r 
 r",positive
appleaaplshort term range    bullish as long as  medium term range   long term range   resistance zone    has to be conquered,neutral
make sure im correct i can buy aapl w div and return a quick  in the next few weeks sign me up,positive
iphone se lacks support for haptic touch on notifications and its not a bug  aapl,positive
tsla car on fire so is the stock  every f up sends d stock hi wait  correction in market still strong sell  or lower in a month,negative
watching googl retest closely,neutral
my written calls tsla thanks for the cash bulls i am sorry there is no cure for stupidity,negative
the doge and xrp organized pumps will make lots of people money for a period of time and lots being totally dumped on that could lead us back into a bear market with depressed prices,negative
great project and i believe will your project goto the moon,positive
me me me,neutral
were excited to be in san francisco today to talk about   and the future of money videos from todays talks will be available soon at and our youtube channel,positive
i think amzn is giving great trades even in nasty tape trick is patience it can do  also but should bounce back violently to  pivot,negative
softbank leads m certik raise as demand for web security grows,positive
got it watching for continuation  btc,neutral
"oh  bitcoin wherefore art thou bitcoin 

a coin by any other name would reek as bittersweetly",negative
eth  eth stalling at the area of interest makes an argument for distribution a chart that looks like this little to no pullback on a run up isnt something i would long im looking at a pullback as far as  yes i know constantinople etc etc i trade the charts,positive
amzn breakout from ch,neutral
this image says it all about huge ambitious goal of msft,positive
cover the xrp headlines with btc headlines illusion btc is the best asset  wise but the reality isxrp,positive
absolutely i agree opportunities are like the carriage of a train approaching the platform if you jump on the wagon at the right time there is no one better than you at your destination,positive
if today  had a market cap similar as  or monero  it would have been worth almost usd  today just imagine what will happen if total market cap of  will at least double this year and  finally get its deserved recognition  for sure in,positive
aapl cost team up to sell  costco is now offering the best deal you can find on the new   but youll need to be a member to get it,positive
popular opinion  any price entry you buy link at in  is going to be considered early they will ask how you how you bought  link and what it felt like,positive
wen link ath   asking for a myself because im tired of this double digit bullshit,negative
"do i see a satoshible vaughn from the internship movie  
just with an eye patch and diamond earring and pink  lol",positive
im playing  this card is for draw  the next  block to be mined learn how to play at,positive
i try to read the other side i really do but weve reached a new low in  garbage this morning when i read the summary i thought huh someone other than elon buying shares weird that i missed thatsee for yourselftsla,negative
"sampp   es  spx usd

es in case 

long or short it with btc on trade",neutral
cost ba etsy jpm pls,positive
the most twitted when   crashes,neutral
"dear friends

first of all we share our targets with our telegram vip members we open positions on some days of the week

 we are sorry that we have not shared targets with our twitter followers for a few days soon we will start making profit with you",positive
the project is implemented professionally and has a clear development plan without doubt this is one of the best project,positive
guess im sleeping on zee couch  tonight,neutral
on apple almost kissed the  dma this morning at  and fell  aapl,positive
"block    bytes  transactions btc reward
            
for more information visit",positive
bitcoin maxis want a revolution  i want a revolution too just a different kind  i want a revolution in my wallet,positive
"msft gonna carry the entire market tomorrow like googl and jay did today 

ignore the economic numbers theyre meaningless",negative
south korea to take action against unregistered crypto exchanges,neutral
what a dramatic information,neutral
when aapl bought iphone trademark from csco linksys nok and mot were the dominate platform guess where they end up network effect goes both ways pretty much symmetrically,positive
"accumulation or distribution into the decline the concept of energy behind price is determined by movement between the strong and weak hands

eric de groot  review gbtc",positive
amzn  ways united parcel service inc is adjusting to the economy,positive
"from silk road to nfts why musician and artist tycho sees web as the endgame

the grammynominated artist believes crypto will soon become the norm
read article",neutral
"being too early on a trade has the exact same appearance as being wrong

i did not come up with this but holy shit its true spy spx qqqq gdx fb nflx",negative
youre asking me if i want an objective comparison between  and their diesel fraud and  i could care less for those i was just looking for a comparison of returns from tsla vs  s fund,negative
those who dont believe in  remind me of the dinosaurs just before that big astroid slammed into the yucatán peninsula,neutral
really hot,neutral
peoples united financial inc pbct given consensus rating of hold by brokerages,positive
did    just start using a  aggregator  sure looks like it  new aggregator  created  aug  xcbfdfbcffefeef  nodes   link per job latest answer  eth pair  roughly k equivalent,positive
current btc dominance,positive
"bluesparrow  the future of the world
 new lifestyle with bluesparrow









  euqc",neutral
although many of us suspected bitcoin would do what its doing now its still amazing to watch in realtime,positive
"i save  in preparation to fight for freedom 

you buy shitcoins for fiat gains 

we are not the same",positive
this is the crap aapls wasting its  on  yrs since jobs passed its clear cook is no innovatorvisionary aapl hasnt had a mkt leading producttrue innovation or mkt expandingin years buying back stock doesnt count it should buy other companies that can do what it cant,negative
"crypto prices usd

bitcoin  
bitcoincash  
polygon  
filecoin  
stellar  
cosmos  
tron",neutral
coming after eihorn hard today on pxd and eog brought up past einhorn fails of gmcr and amzn,negative
nflx tsla apple  must buy tesla,neutral
is mcafee back from the dead  this week in crypto  aug,negative
aapl another test at  need not much to close around,neutral
tsla enormous problem with a low quality car,negative
all newbies to  should deposit and keep at least  lcx in their lcx exchange wallet and get,neutral
"vaccinated logic to the unvaccinated 
ooo suns out today hot hotplease remember to put sunscreen on to stop others getting sunburnt",negative
might be the right time to buy  at,neutral
nov th two years ago bitcoin broke  for the first time less than a month later it hit,negative
trolling with tsla cheerleaders againi just cant imagine how short is your position,positive
eurex europes largest derivatives exchange to list  etn futures on  september  this will be the first time futures contracts are available for investors on a crypto etp in europe telegram,neutral
btcusdt shorted  on   utc,neutral
statistics show share repurchases increased by  in q,positive
el salvador turns to defi uses bitcoinbacked microloans to fight loan sharks,negative
price,neutral
event announces exclusive unbundling option for hbonow  wo tv subscription aapl twx,positive
"live crypto prices h change

btc  
eth  
dot   
link  
vet  
doge  
luna  

powered by coingecko api",neutral
"btc   full of bullish divergences 
just sayin",neutral
whats today you ask   its championship sunday at  for  presented by   bring it home guys,positive
my portfolio is still  btc xmr xzc leo zec  in order of notional value,positive
ge f elan m lly x aes mrk ge czr xeo mar rig amat aapl nio hal aapl ms sny ctxs largest put oi increases,negative
is now live on   the incentivized decentralized and unlimited liquidity trading platform has gotten off to a remarkable start within hours of launch it had over  million worth of digital assets locked  start mining up now,positive
bet theyd like  a little more then,positive
"bitcoin average rsi is   neutral
current price 

   btc",neutral
omvs romeo will only supply rad as their xclusive robotic partner romeo power is compromised of ex tsla amzn ssnlf employees,neutral
im sure that there will be some shorting  in tsla here lol,positive
"please dont miss  if you missed   and  

  is still on presale

  is currently 
   will be  on th jan  once its listed on pancakeswap 

buy  now",positive
hedge fund greenlight capital  let see how mu pxd greece n aapl  looks,neutral
"luna short positionv 
entry price 
target
stop",negative
"duel will announce its name to the whole world
a project at the beginning of the road  and  market the game is just beginning",neutral
this has been my predication as well or actually it is k m and k sx making it a total of k tsla and this is a fair and conservative i believe,positive
like looooove bitcoin farright blogger chuck c johnson gave bitcoin donation to dana rohrabacher,positive
"nvda load the bus into earnings on wednesday

 
 nvidia closes up  in biggest gain since may
 nvda",positive
"every week we work on a newsletter it contains a lot of goodies 

sign up and stand out from the crowd",neutral
"sign up now for the best stock alerts link in bio  
          mdia sonn vrpx nakd amc gme",positive
discord retreats on crypto nft implementation after user backlash,negative
i drank a lot of vodka tonight to clear my head from what was an awful trade today with amzn tomorrow is a new day i hate losing trades,negative
legendary investor bill miller is still buying  what else in your portfolio could go up x nothing,neutral
amzn new highs beta finally waking up,neutral
aapl canaccord pounds the table on apple raises pt,neutral
lol trons justswap went live just now and in a decentralized world there is no way to keep scammers scamming the og scammer   tons of trc version erc top defi coin were listed instantly hopefully ppl dont get scammed there,positive
bank of america cuts united continental ual price target to,positive
bitcoin new ath by september w will clemente  via,neutral
this project soo amazing i am interested and i will support this projectand good opportunity for earn money,positive
the tesla model  is the boeing  max of the roads tsla,neutral
amzn buys   makes sense with aws partners with bb blackberry qnx       blackberry qnx and ford  f,neutral
we will see alot more of this  waves will be top  we moved to waves due to cost of transactions speed security issues always with ethereum and the simplicity of the exchange tim rainer ceo blockscart blxs,positive
aapl below  and nflx back below  nvda down,neutral
bitcoins energy use drops following price plunge,positive
dxc  dxc technology statistically cheap but a value trap,neutral
good project,positive
"btc  
eth  
ada  
bnb  
doge  
link  
trx  
xrp  
cake",neutral
"sampp  forecast stocks face peril as day of reckoning looms 

link 

spx spy es_f",negative
bnb  interesting chart   quite a floor established now its cz against sd,positive
xabbdaecddcfeabdcc,neutral
how much to invest in bitcoin in,neutral
"our main telegram community is experiencing bot attack and is being worked on at the moment we urge everyone who are having problems joining our chat to send us a dm so we can have it sorted for you

thank you

 shift",negative
best project ever,positive
"trickle token 
come play 
k gem 
   
 ownership renounced 
 coingecko applied
 liquidity tax
 betting platform to come
retweet my pinned for giveaway",positive
i told you so,neutral
this could be the most important chart for   right now,positive
just wait until people realize that  is actually a real dog thats older than,neutral
when goog amp aapl starts layoffs thats when wallstreet will care till then they keep ignoring job numbers,positive
"aapl supply chain my first attempt on understanding 
how various companies are linked in apple supply chain 
please correct if i am wrong 

rt for maximum reach",negative
aapl has a market capitalization just north of b today,neutral
so thats why i am making so much todayamzngoogl duhnflxqcomtna,neutral
get yourself together aapl you look sloppy,neutral
coin is down  percent today and hitting the lowest valuation levels since it was listed is this the early  crunch predictor,negative
aapl that was some big put buying in the sept contracts around noon today i think the market is running on fumes aapl will continue lower,negative
"candle of day  closed

open  
high  
low  
close  

change",negative
"this project has the ability to succeed with a reasonable idea and an effective team having
a detailed action roadmap everyone should consider to see the impressive development",positive
tsla  maxpain price,neutral
sampp  wipes out  loss with a historic rally  spx,negative
good thurs    warming up again what a horrid springdis  snapshot or iger unveil of  from last night luke was looking a bit rough but chewy and harrison ford stole show getting back  early if aapl holds yest low this week this markets going higher,negative
they should study tsla as a counterpoint to the efficient market hypothesis in economics class,positive
worldline bitcoin suisse partner to enable merchants to accept bitcoin in switzerland,positive
this is good project i hope that i will get it,positive
"tsla winnings of initial  investment

   realized  m
estimating an average buy price of btc with now  btc holdings btcusd",positive
this is how bitcoin s moving at the moment  how many of you agree,positive
big shoutout to  hands down best way to buy xrp fees are not ridiculous like forkbase and super easy platform to use even though it will take about a week to do a bank deposit uphold will lock in your price of when you initiated the transaction,positive
glimpse into bitcoin future  we have  years to profit   may we go into phase   expect  good weeks incoming  expect huge high surprise  find more info in bitcoin reports  always soon out amp look at big picture  follow is on public telegram,positive
why does xrp suddenly look like it started curing cancer,negative
perfect reaction lots of shorts at the lows squeezed  profits taken here and rest left open in case of continuation higher,positive
nice,positive
"go k into debt to get a degree and no one bats an eye

put k into  and everyone screams risky",negative
ripple on china  bitcoin  xrp and gold  silver soar,neutral
amd had around  million in call premiums last week for august  with a call to put premium ratio of  there was one huge call order of  million some time during the week this is bullish both short weeks and long term months,positive
congrats  with this achievement     mln daily          oce  btc vet xrp eth etc bch vsys ltc ada cro iost link tomo atom,positive
aapl stop removed  will swing this into next week,negative
"congratulations to forex zone member nelicom who used their forum points to get  fzt

get fzt sent directly to your personal wallet
signa   

join free here",positive
"was born on may  
happy birth day",positive
nodes communication at the platform whisper and discovery sonm,neutral
profit took it yesterday  today calls aapl,positive
"zoomingout gives you all the information needed 
looking at the monthly trading chart we see a new trading range of    usd  being established givetake a few 

at overall now trading near good support levels
sideways for a few days before back to k",positive
need a little investment  happy to contribute some in,positive
tweet something about  please,positive
we making money as the minutes roll by ðÿ â make a move today send a dm to start earning money through bitcoin and forex trading ðÿ â â â,neutral
from    and  live data,neutral
aapl i say it will drop at least  but no more that,negative
the panic tweets of agents assets and sillypants are my hors doeuvres in the twilight  rage rage at the dying of the bitcoinfueled,negative
large give here very feeling,positive
not crypto,neutral
they are expecting snb spu etc to keep bidding up msft fb  appl hence the far otm call options,neutral
aapl buys weather app dark sky,neutral
hrb has a big week coming up with the earnings call im thinking of picking up some shares tomorrow before the call on tuesday any  looking at hrb,positive
"utc
btc prices continue to rise
 btcusd",neutral
heartbreak mmmotel  a x robness cyberpop collaboration bootstrapping ai generatives glitch and collage available at,negative
our weekly report what are we doing this week,neutral
saw ym breakout was for real when  min green candle closed above open of the previous red then picked up some amzn calls at the bottom of  min retest of recent low out in  mins w  return,negative
luffy,neutral
"i want to participate in dinopark finance airdrop

adress 

xfcccadfedafaa",positive
down pls,positive
our analytical team has done a detailed analysis regarding  and its fear and greed index is   neutral at the moment with price of  usd so what do you think about the current  state,negative
"best community token  
very nice project we trust and belive you  and  

                  suwuw",positive
are you long any long dated puts on tsla,neutral
"es  algorithmic trade alerts performance for june  

automated alerts includes trades from overnight globex session

   spx spy amzn aapl fb shop nvda googl msft tsla ba cmg nflx jpm ym nq nq_f es es_f gc gld qqq",neutral
"dxy just broke major support
let the bull market begin",neutral
aapl slowing demand too expensive,negative
i remain bullish on baby catcoin  buying the dip and holding   the token has a x potential with a low mc and great team behind it,positive
in  hours  is expected to present a partnership with byd the largest electric car company in the world ahead of tesla live on the chinese state channel this is massive news for  adoption in general btc ven vet crypto,neutral
attention shoppers the following item expires todayshop c now  from  x or   email optionsmastercom to subscribeaapl amzn ba baba bidu bkng cat cgc cmg googl isrg nflx nvda spx jd tsla lvs,neutral
impresive and great project i trust this project can be successfully,positive
amazons aggressive discounts get strong response amzn,positive
is growing,positive
"nft news

have you heard that this nft of chevrolet corvette could get an actual corvette z  the coin republic",neutral
"investing talk 

who do you currently have in your portfolio that you would never sell

mine is ko

tell me below",neutral
should i buy here no probably should have bought at  when i told you to do you still own a whole bitcoin,negative
missed this one,negative
rt  aimt  therapeutics  the week ahead in life sciences,neutral
tue  sep   gmt  top   btc    eth    usdt   usdc   bnb    busd   xrp    ada    sol    dot,positive
aapl index has been telegraphing this,neutral
